FlowId,SrcIP,DstIP,SrcPort,DstPort,Protocol,TxPackets,RxPackets,TxBytes,RxBytes,Duration,Throughput,PacketLoss,Delay,Jitter,District,TrafficType,Label
1,192.168.21.2,192.168.20.2,49153,8300,17,1000,1000,228000,228000,99.9025,18257.8,0,0.00252772,3.71423e-05,PowerGrid,PowerGrid,0
2,192.168.21.3,192.168.20.2,49153,8301,17,1000,1000,228000,228000,99.9025,18257.8,0,0.00872349,0.00342707,PowerGrid,PowerGrid,0
3,192.168.21.4,192.168.20.2,49153,8302,17,1000,1000,228000,228000,99.9025,18257.8,0,0.00877571,0.00350446,PowerGrid,PowerGrid,0
4,192.168.21.5,192.168.20.2,49153,8303,17,1000,1000,228000,228000,99.9025,18257.8,0,0.00880785,0.00342729,PowerGrid,PowerGrid,0
5,192.168.21.6,192.168.20.2,49153,8304,17,1000,1000,228000,228000,99.9025,18257.8,0,0.0086582,0.0035329,PowerGrid,PowerGrid,0
6,192.168.21.7,192.168.20.2,49153,8305,17,1000,1000,228000,228000,99.9025,18257.8,0,0.00891155,0.00344016,PowerGrid,PowerGrid,0
7,192.168.30.2,192.168.30.3,49153,8400,6,7,7,388,388,135.001,22.9925,0,0.0013575,0.00100035,Finance,Financial,0
8,192.168.30.3,192.168.30.2,8400,49153,6,6,6,240,240,92.9945,20.6464,0,0.000667901,0.00020022,Finance,Regular,0
9,192.168.10.2,10.1.0.1,49153,8200,17,1800,1800,2570400,2570400,89.9558,228592,0,0.00582269,3.76877e-05,Hospital,Medical,0
10,192.168.50.16,192.168.10.2,49153,8500,17,800,0,982400,0,-40,0,1,0,0,Unknown,Surveillance,0
11,192.168.50.16,192.168.50.8,49154,10200,17,35,0,5460,0,-45,0,1,0,0,Unknown,Attack,1
12,192.168.50.16,192.168.50.12,49155,10204,17,35,0,5460,0,-45,0,1,0,0,Unknown,Attack,1
13,192.168.50.17,192.168.10.2,49153,8501,17,800,0,982400,0,-45,0,1,0,0,Unknown,Surveillance,0
14,192.168.50.17,192.168.50.9,49154,10201,17,35,0,5460,0,-45,0,1,0,0,Unknown,Attack,1
15,192.168.50.17,192.168.50.13,49155,10205,17,35,0,5460,0,-45,0,1,0,0,Unknown,Attack,1
16,192.168.50.18,192.168.50.10,49153,10202,17,35,0,5460,0,-45,0,1,0,0,Unknown,Attack,1
17,192.168.50.18,192.168.50.14,49154,10206,17,35,0,5460,0,-45,0,1,0,0,Unknown,Attack,1
18,192.168.50.19,192.168.50.11,49153,10203,17,35,0,5460,0,-45,0,1,0,0,Unknown,Attack,1
19,192.168.50.19,192.168.50.15,49154,10207,17,35,0,5460,0,-45,0,1,0,0,Unknown,Attack,1
20,192.168.50.18,192.168.10.2,49155,8502,17,800,0,982400,0,-50,0,1,0,0,Unknown,Surveillance,0
21,192.168.50.19,192.168.10.2,49155,8503,17,800,0,982400,0,-55,0,1,0,0,Unknown,Surveillance,0
22,192.168.10.10,192.168.50.2,49153,8101,17,30,0,16200,0,-60,0,1,0,0,Hospital,Emergency,0
23,192.168.10.10,192.168.20.2,49154,8102,17,30,30,31560,31560,29.002,8705.6,0,0.00297391,0.000908348,Hospital,Emergency,0
