FlowId,SrcIP,DstIP,SrcPort,DstPort,Protocol,TxPackets,RxPackets,TxBytes,RxBytes,Duration,Throughput,PacketLoss,Delay,Jitter,District,TrafficType,Label
1,192.168.21.2,192.168.20.2,49153,8300,17,1000,1000,228000,228000,99.9025,18257.8,0,0.00252772,3.71423e-05,PowerGrid,PowerGrid,0
2,192.168.21.3,192.168.20.2,49153,8301,17,1000,1000,228000,228000,99.9025,18257.8,0,0.00872349,0.00342707,PowerGrid,PowerGrid,0
3,192.168.21.4,192.168.20.2,49153,8302,17,1000,1000,228000,228000,99.9025,18257.8,0,0.00877571,0.00350446,PowerGrid,PowerGrid,0
4,192.168.21.5,192.168.20.2,49153,8303,17,1000,1000,228000,228000,99.9025,18257.8,0,0.00880785,0.00342729,PowerGrid,PowerGrid,0
5,192.168.21.6,192.168.20.2,49153,8304,17,1000,1000,228000,228000,99.9025,18257.8,0,0.0086582,0.0035329,PowerGrid,PowerGrid,0
6,192.168.21.7,192.168.20.2,49153,8305,17,1000,1000,228000,228000,99.9025,18257.8,0,0.00891155,0.00344016,PowerGrid,PowerGrid,0
7,192.168.30.2,192.168.30.3,49153,8400,6,7,7,388,388,135.001,22.9925,0,0.0013575,0.00100035,Finance,Financial,0
8,192.168.30.3,192.168.30.2,8400,49153,6,6,6,240,240,92.9945,20.6464,0,0.000667901,0.00020022,Finance,Regular,0
9,192.168.10.2,10.1.0.1,49153,8200,17,1800,1800,2570400,2570400,89.9558,228592,0,0.00582269,3.76877e-05,Hospital,Medical,0
10,192.168.50.16,192.168.50.8,49153,9600,17,180,0,189360,0,-35,0,1,0,0,Unknown,Attack,1
11,192.168.50.17,192.168.50.8,49153,9600,17,172,0,180944,0,-37,0,1,0,0,Unknown,Attack,1
12,192.168.50.18,192.168.50.8,49153,9600,17,164,0,172528,0,-39,0,1,0,0,Unknown,Attack,1
13,192.168.50.16,192.168.10.2,49154,8500,17,800,0,982400,0,-40,0,1,0,0,Unknown,Surveillance,0
14,192.168.50.19,192.168.50.8,49153,9600,17,156,0,164112,0,-41,0,1,0,0,Unknown,Attack,1
15,192.168.50.16,192.168.50.8,49155,9600,17,148,0,155696,0,-43,0,1,0,0,Unknown,Attack,1
16,192.168.50.16,192.168.50.8,49156,10200,17,35,0,5460,0,-45,0,1,0,0,Unknown,Attack,1
17,192.168.50.16,192.168.50.12,49157,10204,17,35,0,5460,0,-45,0,1,0,0,Unknown,Attack,1
18,192.168.50.17,192.168.10.2,49154,8501,17,800,0,982400,0,-45,0,1,0,0,Unknown,Surveillance,0
19,192.168.50.17,192.168.50.8,49155,9600,17,140,0,147280,0,-45,0,1,0,0,Unknown,Attack,1
20,192.168.50.17,192.168.50.9,49156,10201,17,35,0,5460,0,-45,0,1,0,0,Unknown,Attack,1
21,192.168.50.17,192.168.50.13,49157,10205,17,35,0,5460,0,-45,0,1,0,0,Unknown,Attack,1
22,192.168.50.18,192.168.50.10,49154,10202,17,35,0,5460,0,-45,0,1,0,0,Unknown,Attack,1
23,192.168.50.18,192.168.50.14,49155,10206,17,35,0,5460,0,-45,0,1,0,0,Unknown,Attack,1
24,192.168.50.19,192.168.50.11,49154,10203,17,35,0,5460,0,-45,0,1,0,0,Unknown,Attack,1
25,192.168.50.19,192.168.50.15,49155,10207,17,35,0,5460,0,-45,0,1,0,0,Unknown,Attack,1
26,192.168.50.8,192.168.1.1,49153,9501,17,2,0,120,0,-46.2,0,1,0,0,Unknown,Attack,1
27,192.168.50.9,192.168.1.2,49153,9501,17,2,0,120,0,-46.4,0,1,0,0,Unknown,Attack,1
28,192.168.50.10,192.168.1.3,49153,9501,17,2,0,120,0,-46.6,0,1,0,0,Unknown,Attack,1
29,192.168.50.11,192.168.1.4,49153,9501,17,2,0,120,0,-46.8,0,1,0,0,Unknown,Attack,1
30,192.168.50.12,192.168.1.5,49153,9501,17,2,0,120,0,-47,0,1,0,0,Unknown,Attack,1
31,192.168.50.18,192.168.10.2,49156,8502,17,800,0,982400,0,-50,0,1,0,0,Unknown,Surveillance,0
32,192.168.50.20,192.168.10.2,49153,21,17,3,0,276,0,-50,0,1,0,0,Unknown,Attack,1
33,192.168.50.21,192.168.10.2,49153,22,17,3,0,276,0,-50.5,0,1,0,0,Unknown,Attack,1
34,192.168.50.22,192.168.10.2,49153,80,17,3,0,276,0,-51,0,1,0,0,Unknown,Attack,1
35,192.168.50.23,192.168.10.2,49153,443,17,3,0,276,0,-51.5,0,1,0,0,Unknown,Attack,1
36,192.168.50.8,192.168.50.2,49154,10000,17,400,0,216000,0,-55,0,1,0,0,Unknown,Attack,1
37,192.168.50.19,192.168.10.2,49156,8503,17,800,0,982400,0,-55,0,1,0,0,Unknown,Surveillance,0
38,192.168.50.24,192.168.20.2,49153,21,17,3,0,276,0,-55,0,1,0,0,Unknown,Attack,1
39,192.168.50.25,192.168.20.2,49153,22,17,3,0,276,0,-55.5,0,1,0,0,Unknown,Attack,1
40,192.168.50.26,192.168.20.2,49153,80,17,3,0,276,0,-56,0,1,0,0,Unknown,Attack,1
41,192.168.50.13,192.168.11.1,49153,9511,17,2,0,120,0,-56.2,0,1,0,0,Unknown,Attack,1
