FlowId,SrcIP,DstIP,SrcPort,DstPort,Protocol,TxPackets,RxPackets,TxBytes,RxBytes,Duration,Throughput,PacketLoss,Delay,Jitter,District,TrafficType,Label
1,192.168.21.2,192.168.20.2,49153,8300,17,1000,1000,228000,228000,99.9025,18257.8,0,0.00252772,3.71423e-05,PowerGrid,PowerGrid,0
2,192.168.21.3,192.168.20.2,49153,8301,17,1000,1000,228000,228000,99.9025,18257.8,0,0.00872349,0.00342707,PowerGrid,PowerGrid,0
3,192.168.21.4,192.168.20.2,49153,8302,17,1000,1000,228000,228000,99.9025,18257.8,0,0.00877571,0.00350446,PowerGrid,PowerGrid,0
4,192.168.21.5,192.168.20.2,49153,8303,17,1000,1000,228000,228000,99.9025,18257.8,0,0.00880785,0.00342729,PowerGrid,PowerGrid,0
5,192.168.21.6,192.168.20.2,49153,8304,17,1000,1000,228000,228000,99.9025,18257.8,0,0.0086582,0.0035329,PowerGrid,PowerGrid,0
6,192.168.21.7,192.168.20.2,49153,8305,17,1000,1000,228000,228000,99.9025,18257.8,0,0.00891155,0.00344016,PowerGrid,PowerGrid,0
7,192.168.30.2,192.168.30.3,49153,8400,6,7,7,388,388,135.001,22.9925,0,0.0013575,0.00100035,Finance,Financial,0
8,192.168.30.3,192.168.30.2,8400,49153,6,6,6,240,240,92.9945,20.6464,0,0.000667901,0.00020022,Finance,Regular,0
9,192.168.10.2,10.1.0.1,49153,8200,17,1800,1800,2570400,2570400,89.9558,228592,0,0.00582269,3.76877e-05,Hospital,Medical,0
10,192.168.50.16,192.168.10.2,49153,8500,17,800,0,982400,0,-40,0,1,0,0,Unknown,Surveillance,0
11,192.168.50.17,192.168.10.2,49153,8501,17,800,0,982400,0,-45,0,1,0,0,Unknown,Surveillance,0
12,192.168.50.18,192.168.10.2,49153,8502,17,800,0,982400,0,-50,0,1,0,0,Unknown,Surveillance,0
13,192.168.50.19,192.168.10.2,49153,8503,17,800,0,982400,0,-55,0,1,0,0,Unknown,Surveillance,0
14,192.168.10.10,192.168.50.2,49153,8101,17,30,0,16200,0,-60,0,1,0,0,Hospital,Emergency,0
15,192.168.10.10,192.168.20.2,49154,8102,17,30,30,31560,31560,29.002,8705.6,0,0.00297391,0.000908348,Hospital,Emergency,0
16,192.168.4.2,192.168.10.3,49153,9900,17,300,300,622800,622800,29.9044,166611,0,0.00616383,0.00272656,University-Research,Attack,1
17,192.168.4.3,192.168.10.3,49153,9901,17,300,300,622800,622800,29.9038,166614,0,0.00888715,0.0035581,University-Research,Attack,1
18,192.168.4.4,192.168.10.3,49153,9902,17,300,300,622800,622800,29.9049,166608,0,0.00929194,0.00364922,University-Research,Attack,1
19,192.168.4.5,192.168.10.3,49153,9903,17,300,300,622800,622800,29.9049,166608,0,0.00991547,0.00367941,University-Research,Attack,1
20,192.168.4.6,192.168.10.3,49153,9904,17,300,300,622800,622800,29.9076,166593,0,0.00935359,0.00397318,University-Research,Attack,1
21,192.168.4.2,192.168.10.3,49154,9905,17,300,300,622800,622800,29.9037,166615,0,0.0112219,0.00354454,University-Research,Attack,1
22,192.168.4.3,192.168.10.3,49154,9906,17,280,280,581280,581280,27.9054,166643,0,0.0125848,0.00290174,University-Research,Attack,1
23,192.168.4.4,192.168.10.3,49154,9907,17,260,260,539760,539760,25.9083,166668,0,0.0132724,0.00274277,University-Research,Attack,1
